average sequence length: 56.86
Traceback (most recent call last):
  File "main.py", line 95, in <module>
    pos_logits, neg_logits = model(u, seq, pos, neg)
  File "/home/hajar.laktaoui/.local/lib/python3.8/site-packages/torch/nn/modules/module.py", line 722, in _call_impl
    result = self.forward(*input, **kwargs)
  File "/home/hajar.laktaoui/ImplementationFolder/SASRec.pytorch/model.py", line 102, in forward
    log_feats = self.log2feats(log_seqs) # user_ids hasn't been used yet
  File "/home/hajar.laktaoui/ImplementationFolder/SASRec.pytorch/model.py", line 70, in log2feats
    row_str = ' '.join(map(str, row.cpu().numpy()))
RuntimeError: Can't call numpy() on Tensor that requires grad. Use tensor.detach().numpy() instead.
average sequence length: 56.86
average sequence length: 56.86
average sequence length: 56.86
loss in epoch 3 iteration 25: 1.1574084758758545
loss in epoch 3 iteration 26: 1.2003448009490967
loss in epoch 3 iteration 27: 1.1718746423721313
loss in epoch 3 iteration 28: 1.1901205778121948
loss in epoch 3 iteration 29: 1.1685072183609009
loss in epoch 3 iteration 30: 1.1858818531036377
loss in epoch 3 iteration 31: 1.1558253765106201
loss in epoch 3 iteration 32: 1.1677348613739014
loss in epoch 3 iteration 33: 1.1518532037734985
loss in epoch 3 iteration 34: 1.1527299880981445
loss in epoch 3 iteration 35: 1.1579155921936035
loss in epoch 3 iteration 36: 1.1549947261810303
loss in epoch 3 iteration 37: 1.1317510604858398
loss in epoch 3 iteration 38: 1.163428544998169
loss in epoch 3 iteration 39: 1.1238703727722168
loss in epoch 3 iteration 40: 1.135189175605774
loss in epoch 3 iteration 41: 1.1230065822601318
loss in epoch 3 iteration 42: 1.1532409191131592
loss in epoch 3 iteration 43: 1.1357057094573975
loss in epoch 3 iteration 44: 1.1428284645080566
loss in epoch 3 iteration 45: 1.1403779983520508
loss in epoch 3 iteration 46: 1.0918890237808228
loss in epoch 3 iteration 47: 1.1315079927444458
loss in epoch 3 iteration 48: 1.1252349615097046
loss in epoch 3 iteration 49: 1.1466667652130127
loss in epoch 3 iteration 50: 1.1314505338668823
loss in epoch 3 iteration 51: 1.121891736984253
loss in epoch 3 iteration 52: 1.1152945756912231
loss in epoch 3 iteration 53: 1.11418616771698
loss in epoch 3 iteration 54: 1.0988013744354248
loss in epoch 3 iteration 55: 1.109053611755371
loss in epoch 3 iteration 56: 1.1000659465789795
loss in epoch 3 iteration 57: 1.1103953123092651
loss in epoch 4 iteration 0: 1.0771896839141846
loss in epoch 4 iteration 1: 1.103148341178894
loss in epoch 4 iteration 2: 1.0884205102920532
loss in epoch 4 iteration 3: 1.0815526247024536
loss in epoch 4 iteration 4: 1.0800238847732544
loss in epoch 4 iteration 5: 1.10086190700531
loss in epoch 4 iteration 6: 1.0727870464324951
loss in epoch 4 iteration 7: 1.0498120784759521
loss in epoch 4 iteration 8: 1.0469427108764648
loss in epoch 4 iteration 9: 1.0978585481643677
loss in epoch 4 iteration 10: 1.0717170238494873
loss in epoch 4 iteration 11: 1.0608165264129639
loss in epoch 4 iteration 12: 1.0727207660675049
loss in epoch 4 iteration 13: 1.0713905096054077
loss in epoch 4 iteration 14: 1.0406880378723145
loss in epoch 4 iteration 15: 1.0683543682098389
loss in epoch 4 iteration 16: 1.0677669048309326
loss in epoch 4 iteration 17: 1.0558310747146606
loss in epoch 4 iteration 18: 1.077406406402588
loss in epoch 4 iteration 19: 1.0567307472229004
loss in epoch 4 iteration 20: 1.044642686843872
loss in epoch 4 iteration 21: 1.0571823120117188
loss in epoch 4 iteration 22: 1.028242588043213
loss in epoch 4 iteration 23: 1.0565259456634521
loss in epoch 4 iteration 24: 1.052481770515442
loss in epoch 4 iteration 25: 1.0529428720474243
loss in epoch 4 iteration 26: 1.0121363401412964
loss in epoch 4 iteration 27: 1.0465449094772339
loss in epoch 4 iteration 28: 1.0245715379714966
loss in epoch 4 iteration 29: 1.0188589096069336
loss in epoch 4 iteration 30: 1.0585577487945557
loss in epoch 4 iteration 31: 1.0204877853393555
loss in epoch 4 iteration 32: 1.0186609029769897
loss in epoch 4 iteration 33: 1.0321550369262695
loss in epoch 4 iteration 34: 1.0215630531311035
loss in epoch 4 iteration 35: 0.9953405857086182
loss in epoch 4 iteration 36: 1.007734775543213
loss in epoch 4 iteration 37: 0.985988974571228
loss in epoch 4 iteration 38: 1.0141521692276
loss in epoch 4 iteration 39: 0.9988818168640137
loss in epoch 4 iteration 40: 1.0077381134033203
loss in epoch 4 iteration 41: 1.0032007694244385
loss in epoch 4 iteration 42: 1.022847056388855
loss in epoch 4 iteration 43: 1.0026464462280273
loss in epoch 4 iteration 44: 1.0084869861602783
loss in epoch 4 iteration 45: 1.0051146745681763
loss in epoch 4 iteration 46: 0.9945904016494751
loss in epoch 4 iteration 47: 0.9966603517532349
loss in epoch 4 iteration 48: 1.0123941898345947
loss in epoch 4 iteration 49: 1.0227967500686646
loss in epoch 4 iteration 50: 0.9781145453453064
loss in epoch 4 iteration 51: 0.99553382396698
loss in epoch 4 iteration 52: 0.9874118566513062
loss in epoch 4 iteration 53: 0.9776407480239868
loss in epoch 4 iteration 54: 0.9891617298126221
loss in epoch 4 iteration 55: 0.9899680018424988
loss in epoch 4 iteration 56: 0.9503723382949829
loss in epoch 4 iteration 57: 1.0043072700500488
loss in epoch 5 iteration 0: 0.9834935069084167
loss in epoch 5 iteration 1: 0.962476909160614
loss in epoch 5 iteration 2: 0.9821991920471191
loss in epoch 5 iteration 3: 0.973955512046814
loss in epoch 5 iteration 4: 0.9545822143554688
loss in epoch 5 iteration 5: 0.9884058237075806
loss in epoch 5 iteration 6: 0.9510152339935303
loss in epoch 5 iteration 7: 0.9546082019805908
loss in epoch 5 iteration 8: 0.9645397663116455
loss in epoch 5 iteration 9: 0.966278076171875
loss in epoch 5 iteration 10: 0.9538536071777344
loss in epoch 5 iteration 11: 1.0096967220306396
loss in epoch 5 iteration 12: 0.9847561120986938
loss in epoch 5 iteration 13: 0.9711539149284363
loss in epoch 5 iteration 14: 0.9660971164703369
loss in epoch 5 iteration 15: 0.9825060963630676
loss in epoch 5 iteration 16: 0.9445067644119263
loss in epoch 5 iteration 17: 0.9338212013244629
loss in epoch 5 iteration 18: 0.9496167898178101
loss in epoch 5 iteration 19: 0.9597286581993103
loss in epoch 5 iteration 20: 0.9614546298980713
loss in epoch 5 iteration 21: 0.948811948299408
loss in epoch 5 iteration 22: 0.9520895481109619
loss in epoch 5 iteration 23: 0.9260969161987305
loss in epoch 5 iteration 24: 0.9062858819961548
loss in epoch 5 iteration 25: 0.9626426696777344
loss in epoch 5 iteration 26: 0.944333016872406
loss in epoch 5 iteration 27: 0.9446431398391724
loss in epoch 5 iteration 28: 0.9122695922851562
loss in epoch 5 iteration 29: 0.9514451026916504
loss in epoch 5 iteration 30: 0.9337069988250732
loss in epoch 5 iteration 31: 0.93941330909729
loss in epoch 5 iteration 32: 0.9295526742935181
loss in epoch 5 iteration 33: 0.9472028017044067
loss in epoch 5 iteration 34: 0.9496135711669922
loss in epoch 5 iteration 35: 0.9271527528762817
loss in epoch 5 iteration 36: 0.933367133140564
loss in epoch 5 iteration 37: 0.914447546005249
loss in epoch 5 iteration 38: 0.9125747084617615
loss in epoch 5 iteration 39: 0.9365817308425903
loss in epoch 5 iteration 40: 0.9366629123687744
loss in epoch 5 iteration 41: 0.9086583256721497
loss in epoch 5 iteration 42: 0.9343593716621399
loss in epoch 5 iteration 43: 0.9034844040870667
loss in epoch 5 iteration 44: 0.9133548140525818
loss in epoch 5 iteration 45: 0.8792300820350647
loss in epoch 5 iteration 46: 0.8984476327896118
loss in epoch 5 iteration 47: 0.907231330871582
loss in epoch 5 iteration 48: 0.9098094701766968
loss in epoch 5 iteration 49: 0.8971596956253052
loss in epoch 5 iteration 50: 0.9265295267105103
loss in epoch 5 iteration 51: 0.9230630397796631
loss in epoch 5 iteration 52: 0.9125008583068848
loss in epoch 5 iteration 53: 0.8892946839332581
loss in epoch 5 iteration 54: 0.8965193033218384
loss in epoch 5 iteration 55: 0.9038054943084717
loss in epoch 5 iteration 56: 0.9068248271942139
loss in epoch 5 iteration 57: 0.9036487340927124
loss in epoch 6 iteration 0: 0.8996071815490723
loss in epoch 6 iteration 1: 0.9014929533004761
loss in epoch 6 iteration 2: 0.8847643733024597
loss in epoch 6 iteration 3: 0.8902757167816162
loss in epoch 6 iteration 4: 0.873028039932251
loss in epoch 6 iteration 5: 0.8995497226715088
loss in epoch 6 iteration 6: 0.8787493705749512
loss in epoch 6 iteration 7: 0.8770830631256104
loss in epoch 6 iteration 8: 0.9064524173736572
loss in epoch 6 iteration 9: 0.8869493007659912
loss in epoch 6 iteration 10: 0.8981853723526001
loss in epoch 6 iteration 11: 0.8636149168014526
loss in epoch 6 iteration 12: 0.9070861339569092
loss in epoch 6 iteration 13: 0.8902701139450073
loss in epoch 6 iteration 14: 0.8850786685943604
loss in epoch 6 iteration 15: 0.8524510860443115
loss in epoch 6 iteration 16: 0.8577111959457397
loss in epoch 6 iteration 17: 0.8743596076965332
loss in epoch 6 iteration 18: 0.882743239402771
loss in epoch 6 iteration 19: 0.8887302279472351
loss in epoch 6 iteration 20: 0.8687912225723267
loss in epoch 6 iteration 21: 0.8658709526062012
